,STATION,STATION_NAME,LATITUDE,LONGITUDE,DATETIME,HOURLYPrecip
16216,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 16:00:00,0.0
16217,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 16:27:00,0.01
16218,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 16:39:00,0.02
16219,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 16:46:00,0.02
16220,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 16:51:00,0.02
16221,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 17:29:00,0.05
16222,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 17:40:00,0.05
16223,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 17:51:00,0.02
16224,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 18:00:00,0.01
16225,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 18:13:00,0.01
16226,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 18:22:00,0.02
16227,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 18:41:00,0.04
16228,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 18:48:00,0.04
16229,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 18:51:00,0.03
16230,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 19:00:00,0.0
16231,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 19:26:00,0.05
16232,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 19:38:00,0.05
16233,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 19:51:00,0.05
16234,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 20:51:00,0.0
16235,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 21:51:00,0.0
16236,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 22:00:00,0.0
16237,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 22:24:00,0.05
16238,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 22:51:00,0.05
16239,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 23:51:00,0.01
16240,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-02 23:59:00,0.0
16241,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 00:51:00,0.01
16242,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 01:00:00,0.0
16243,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 01:51:00,0.01
16244,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 02:51:00,0.01
16245,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 03:51:00,0.01
16246,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 04:00:00,0.0
16247,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 04:51:00,0.05
16248,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 05:51:00,0.05
16249,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 06:51:00,0.05
16250,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 07:00:00,0.0
16251,WBAN:14732,LA GUARDIA AIRPORT NY US,40.7792,-73.88,2017-01-03 07:49:00,0.0
